M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
120,27,14,40,5,119.999672,0.999997,94.030335,0.07286,119.999672,120,27,14,40,5,119.999672,0.999997,80.030333,0.07286,27,0.000328,40,5,0.000328,1.0,177.003173,0.0,0.000328,239.999672,0.999999,80.030598,87.030457,0.07286,147.0
240,27,14,40,5,239.503387,0.997931,120.098372,0.145418,239.503387,240,27,14,40,5,239.511256,0.997964,106.092217,0.145423,27,0.488744,40,5,0.488744,1.0,201.431552,0.000297,0.488744,479.503387,0.998965,106.286369,113.185218,0.145715,266.992131
360,27,14,40,5,334.951936,0.930422,148.41038,0.203371,334.951936,360,27,14,40,5,338.916797,0.941436,134.859727,0.205778,27,21.083203,40,5,21.083202,1.0,81.489998,0.012801,21.083202,694.951935,0.965211,131.734158,139.77174,0.216172,383.035138
480,27,14,40,5,297.617882,0.620037,159.736229,0.180703,297.617882,480,27,14,40,5,348.803693,0.726674,155.526992,0.211781,27,131.196307,40,5,131.175151,0.999839,139.707115,0.079645,131.175151,777.596726,0.809997,151.203521,154.469335,0.260348,455.793033
600,27,14,40,5,186.801283,0.311335,151.987244,0.113419,186.801283,600,27,14,40,5,290.004282,0.48334,168.885637,0.17608,27,309.995718,40,5,298.128931,0.96172,199.299727,0.181013,298.128931,774.934496,0.645779,184.302756,176.512964,0.294432,511.930214
720,27,14,40,5,111.504541,0.154867,142.042895,0.067702,111.504541,720,27,14,40,5,227.34237,0.315753,180.793248,0.138034,27,492.65763,40,5,330.002159,0.669841,245.945961,0.200366,330.002159,668.84907,0.464479,219.36999,206.478707,0.268068,468.5067
840,27,14,40,5,67.83084,0.080751,134.452737,0.041184,67.83084,840,27,14,40,5,179.813896,0.214064,193.021807,0.109177,27,660.186104,40,5,258.958974,0.392251,271.206645,0.157231,258.958974,506.60371,0.30155,239.165648,225.145291,0.198415,353.789814
960,27,14,40,5,41.990091,0.04374,128.802804,0.025495,41.990091,960,27,14,40,5,146.554282,0.152661,205.325048,0.088983,27,813.445718,40,5,202.577081,0.249036,296.311162,0.122998,202.577081,391.121454,0.203709,258.118075,244.235021,0.148493,271.567172
1080,27,14,40,5,26.291813,0.024344,124.388047,0.015963,26.291813,1080,27,14,40,5,123.63274,0.114475,216.967033,0.075065,27,956.36726,40,5,167.302313,0.174935,312.889556,0.10158,167.302313,317.226866,0.146864,272.127316,259.882662,0.117543,220.594126
1200,27,14,40,5,16.58735,0.013823,120.752785,0.010071,16.58735,1200,27,14,40,5,107.745485,0.089788,227.31422,0.065419,27,1092.254515,40,5,145.12501,0.132867,326.102656,0.088115,145.12501,269.457845,0.112274,284.009932,273.96011,0.098186,188.71236
